Scopus-24150-Analyze-Source

"Your query : (SUBJAREA(psyc))"


Number of results : 24150

"SOURCE TITLE",
"Journal of Neurology Neurosurgery and Psychiatry","499"
"Psychological Reports","464"
"American Journal of Medical Genetics Neuropsychiatric Genetics","417"
"Social Science and Medicine","337"
"Journal of Clinical Psychiatry","333"
"Perceptual and Motor Skills","275"
"Journal of the American Academy of Child and Adolescent Psychiatry","242"
"Personality and Individual Differences","227"
"Pain","213"
"Journal of Affective Disorders","161"
"Neuropsychologia","155"
"Psychiatry Research","148"
"Psychological Medicine","143"
"Behavioral Neuroscience","134"
"Schizophrenia Research","134"
"Journal of Psychosomatic Research","128"
"Brain and Cognition","127"
"International Journal of Psycho Analysis","124"
"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I P Pavlova","121"
"Ergonomics","120"
"Substance Use and Misuse","119"
"Journal of Applied Social Psychology","117"
"Psychosomatic Medicine","116"
"Perception","115"
"Sex Roles","114"
"Child Development","113"
"Journal of Consulting and Clinical Psychology","112"
"Journal of Clinical Psychology","111"
"Child Abuse and Neglect","111"
"Journal of Experimental Psychology Human Perception and Performance","109"
"Perception and Psychophysics","108"
"Neurobiology of Aging","107"
"Annales Medico Psychologiques","106"
"Memory and Cognition","106"
"Personality and Social Psychology Bulletin","105"
"Journal of Child Psychology and Psychiatry and Allied Disciplines","100"
"Human Psychopharmacology","100"
"Brain and Language","99"
"Psychosomatics","96"
"Professional Psychology Research and Practice","94"
"International Journal of Eating Disorders","94"
"Addictive Behaviors","93"
"Medical Engineering and Physics","91"
"Behaviour Research and Therapy","88"
"CNS Spectrums","88"
"Adolescence","88"
"Journal of Experimental Psychology Learning Memory and Cognition","87"
"Journal of Social Psychology","87"
"Journal of Clinical and Experimental Neuropsychology","87"
"Journal of Studies on Alcohol","87"
"Psycoloquy","86"
"Depression and Anxiety","84"
"CNS Drugs","84"
"Behavior Research Methods Instruments and Computers","84"
"Psychological Science","82"
"Journal of Applied Psychology","82"
"Neuropsychiatrie De L Enfance Et De L Adolescence","81"
"Seizure","81"
"Zhurnal Vysshei Nervnoi Deiatelnosti Imeni I P Pavlova","80"
"American Behavioral Scientist","80"
"Psychophysiology","77"
"Voprosy Psikhologii","77"
"Journal of Neuropsychiatry and Clinical Neurosciences","76"
"Journals of Gerontology Series B Psychological Sciences and Social Sciences","76"
"Dementia and Geriatric Cognitive Disorders","74"
"Behavioral Healthcare Tomorrow","73"
"Early Child Development and Care","73"
"Teaching of Psychology","72"
"Psychonomic Bulletin and Review","72"
"Psychology and Health","72"
"International Journal of Human Computer Studies","72"
"Neuropsychobiology","71"
"Journal of Personality Assessment","70"
"Journal of Abnormal Psychology","70"
"Psychoneuroendocrinology","69"
"American Journal of Orthopsychiatry","69"
"Journal of Business Research","67"
"American Psychologist","67"
"Health Psychology","66"
"Psikhologicheskii Zhurnal","66"
"Educational and Psychological Measurement","66"
"Journal of Applied Behavior Analysis","65"
"Journal of Autism and Developmental Disorders","65"
"Cognition","65"
"International Journal of Obstetric Anesthesia","64"
"European Journal of Social Psychology","62"
"Journal of Traumatic Stress","61"
"Journal of Psychology Interdisciplinary and Applied","61"
"Family Journal","60"
"Developmental Psychobiology","60"
"Journal of Adolescence","60"
"Psicothema","58"
"Ppmp Psychotherapie Psychosomatik Medizinische Psychologie","58"
"Psychological Inquiry","58"
"Journal of Cognitive Neuroscience","58"
"Journal of Pragmatics","57"
"Comprehensive Psychiatry","57"
"Journal of Educational Psychology","57"
"British Journal of Educational Psychology","57"
"Journal of the International Neuropsychological Society","57"
"Organizational Behavior and Human Decision Processes","56"
"Human Factors","56"
"Psychology and Aging","55"
"Infant Behavior and Development","55"
"Current Anaesthesia and Critical Care","54"
"Neurobiology of Learning and Memory","54"
"Journal of Memory and Language","53"
"Irish Journal of Psychological Medicine","53"
"Research Quarterly for Exercise and Sport","53"
"Journal of Social Behavior and Personality","52"
"Speech Communication","52"
"Hormones and Behavior","52"
"Journal of Vocational Behavior","51"
"Studia Psychologica","51"
"Shinrigaku Kenkyu","51"
"European Neuropsychopharmacology","51"
"Biological Psychology","51"
"Journal of Psychiatric Research","51"
"Psychologist","51"
"Psycho Oncology","50"
"Journal of the American Psychoanalytic Association","50"
"Restorative Neurology and Neuroscience","50"
"Journal of Experimental Child Psychology","49"
"Journal of Social and Personal Relationships","49"
"Cahiers De Psychologie Cognitive","49"
"Neuropsychology","49"
"Psychotherapeut","49"
"Technological Forecasting and Social Change","49"
"European Archives of Psychiatry and Clinical Neuroscience","49"
"Journal of Personality","49"
"Acta Psychologica","49"
"Japanese Journal of Educational Psychology","48"
"Applied Cognitive Psychology","47"
"Journal of Counseling Psychology","47"
"Social Science Journal","47"
"Psychological Assessment","47"
"Interacting with Computers","47"
"Theory and Psychology","47"
