Scopus-15196-Analyze-Source

"Your query : (SUBJAREA(psyc))"


Number of results : 15196

"SOURCE TITLE",
"Social Science and Medicine","357"
"Zhurnal Nevropatologii I Psikhiatrii Imeni S S Korsakova","349"
"Journal of Neurology Neurosurgery and Psychiatry","345"
"Psychological Reports","322"
"Perceptual and Motor Skills","315"
"European Neuropsychopharmacology","250"
"Journal of Clinical Psychiatry","228"
"Pain","225"
"Journal of the American Academy of Child and Adolescent Psychiatry","193"
"American Psychologist","192"
"Japanese Journal of Psychiatry and Neurology","177"
"Personality and Individual Differences","177"
"Journal of Personality and Social Psychology","172"
"Annals of Botany","153"
"Zhurnal Vysshei Nervnoi Deyatelnosti Imeni I P Pavlova","148"
"Psychiatry Research","138"
"Annals of Oncology","126"
"Journal of Consulting and Clinical Psychology","122"
"Journal of Clinical Psychology","115"
"Neurobiology of Aging","114"
"Physiologist","112"
"Annales Medico Psychologiques","110"
"Psychological Medicine","110"
"Advances in Psychology","109"
"Perception Psychophysics","104"
"Neuropsychologia","102"
"Psychological Assessment","102"
"Behavioral Neuroscience","101"
"Chinese Journal of Neurology and Psychiatry","100"
"Neuropsychiatrie De L Enfance Et De L Adolescence","99"
"Sex Roles","98"
"Developmental Psychology","98"
"Journal of Applied Psychology","98"
"Ergonomics","98"
"International Immunology","96"
"Journal of Affective Disorders","92"
"Journal of Experimental Psychology Learning Memory and Cognition","91"
"Adolescence","85"
"Behavior Research Methods Instruments Computers","85"
"Child Abuse and Neglect","84"
"European Archives of Psychiatry and Clinical Neuroscience","83"
"Child Development","83"
"Journal of Psychosomatic Research","82"
"Psychological Bulletin","82"
"Psychosomatics","80"
"Schizophrenia Research","80"
"Journal of Child Psychology and Psychiatry and Allied Disciplines","79"
"Journal of Neuropsychiatry and Clinical Neurosciences","79"
"Journal of Personality Assessment","79"
"American Journal of Orthopsychiatry","78"
"Journal of Experimental Psychology Human Perception and Performance","76"
"Professional Psychology Research and Practice","76"
"Behaviour Research and Therapy","75"
"Journal of Abnormal Psychology","74"
"Journal of Studies on Alcohol","73"
"Psychology and Aging","72"
"International Journal of Eating Disorders","72"
"Psychophysiology","70"
"Neurologia Psichiatria Scienze Umane","70"
"Comprehensive Psychiatry","69"
"International Journal of Psycho Analysis","69"
"Research Quarterly for Exercise and Sport","68"
"Psychotherapy and Psychosomatics","66"
"Neuroscience and Biobehavioral Reviews","65"
"Journal of Homosexuality","63"
"Brain and Language","63"
"Journal of Applied Behavior Analysis","63"
"Addictive Behaviors","62"
"Perception","62"
"Journal of Educational Psychology","62"
"American Journal of Community Psychology","62"
"Restorative Neurology and Neuroscience","60"
"Journal of Counseling Psychology","60"
"Ppmp Psychotherapie Psychosomatik Medizinische Psychologie","57"
"Journal of Psychoactive Drugs","56"
"Journal of Clinical and Experimental Neuropsychology","56"
"Health Psychology","56"
"Journal of Business Research","55"
"Journal of Developmental and Behavioral Pediatrics","55"
"Arts in Psychotherapy","55"
"Psychopathology","54"
"Psychosomatic Medicine","54"
"Journal of Pragmatics","53"
"Experimental Aging Research","53"
"Journal of the Experimental Analysis of Behavior","52"
"Death Studies","52"
"Technological Forecasting and Social Change","51"
"Journal of Geriatric Psychiatry and Neurology","50"
"Brain and Cognition","50"
"Schweizer Archiv Fur Neurologie Und Psychiatrie","50"
"Journal of Autism and Developmental Disorders","50"
"Journal of Pediatric Psychology","49"
"American Journal of Psychotherapy","49"
"Organizational Behavior and Human Decision Processes","48"
"Clinical Psychology Review","48"
"Journal of Traumatic Stress","47"
"Speech Communication","47"
"Journal of Experimental Child Psychology","47"
"Archivos De Neurobiologia","47"
"Evaluation and Program Planning","46"
"Human Movement Science","46"
"Human Factors","46"
"Dementia","46"
"Praxis Der Kinderpsychologie Und Kinderpsychiatrie","46"
"Journal of the American Psychoanalytic Association","45"
"Acta Psychologica","45"
"Shinrigaku Kenkyu the Japanese Journal of Psychology","45"
"Psyche","45"
"Human Psychopharmacology","45"
"Elt Journal","45"
"Behavior Therapy","45"
"Psychoneuroendocrinology","45"
"International Journal of Aging and Human Development","45"
"Journal of Experimental Psychology Animal Behavior Processes","44"
"Irish Journal of Psychological Medicine","44"
"Journal of Criminal Justice","44"
"British Journal of Clinical Psychology","44"
"Early Childhood Research Quarterly","44"
"Memory and Cognition","44"
"Glycobiology","44"
"Psychological Research","43"
"Psychometrika","43"
"Contemporary Family Therapy","43"
"Journal of Abnormal Child Psychology","43"
"Journal of Behavioral Medicine","43"
"Hormones and Behavior","42"
"Journal of Sex Research","42"
"Integrative Physiological and Behavioral Science","42"
"Law and Human Behavior","42"
"Accounting Organizations and Society","41"
"Archives of Sexual Behavior","41"
"Journal of Youth and Adolescence","41"
"Journal of Vocational Behavior","41"
"Behavior Genetics","40"
"Current Anaesthesia and Critical Care","40"
"Industrial Law Journal","40"
"Journal of Behavior Therapy and Experimental Psychiatry","39"
"Journal of Business and Psychology","39"
"Journal of Intellectual and Developmental Disability","39"
"Bulletin of the Menninger Clinic","39"
"New Ideas in Psychology","39"
"American Journal of Drug and Alcohol Abuse","37"
"International Psychogeriatrics IPA","37"
"Journal of Child Language","37"
"Journal of Cognitive Neuroscience","37"
"Journal of School Psychology","36"
"Journal of Experimental Psychology General","36"
"TW Neurologie Psychiatrie","35"
"Cognition","35"
